left,front,right,food_angle,sug_direction,move_rating
0.0,0.0,0.0,-0.5006407124949652,-1.0,0.0
0.0,0.0,0.0,0.5,-1.0,0.0
0.0,0.0,0.0,0.4993312812598124,0.0,0.0
0.0,0.0,0.0,0.4993019514444762,1.0,1.0
0.0,0.0,0.0,0.5000305573579864,0.0,1.0
0.0,1.0,0.0,0.5000607647159662,1.0,1.0
1.0,0.0,0.0,0.500664029589962,1.0,0.0
0.0,0.0,0.0,0.4999719521106553,-1.0,1.0
0.0,0.0,0.0,0.5006407124949652,-1.0,1.0
0.0,1.0,0.0,0.5000514199223908,0.0,-1.0
0.0,1.0,0.0,-0.5002137135613314,0.0,-1.0
0.0,0.0,0.0,0.4993006639990569,-1.0,1.0
0.0,0.0,0.0,0.5003340009189845,0.0,1.0
0.0,0.0,0.0,0.5003537134527348,1.0,0.0
0.0,0.0,0.0,0.4993386947128654,-1.0,1.0
0.0,0.0,0.0,0.5004004206918283,0.0,1.0
0.0,0.0,0.0,0.5004136679034551,0.0,1.0
0.0,0.0,0.0,0.5004239698986486,0.0,1.0
0.0,0.0,0.0,0.5004316401729537,-1.0,1.0
0.0,0.0,0.0,0.5005307006058577,0.0,1.0
0.0,0.0,0.0,0.5005228461271415,-1.0,0.0
0.0,0.0,0.0,0.4996314984936816,0.0,0.0
0.0,0.0,0.0,0.499642978282629,0.0,0.0
0.0,0.0,0.0,0.4996568789543796,1.0,1.0
